,Address,Price,Beds,Source,lat,long
105,"2017 Philo Rd, Urbana, IL 61802",840,1bd,Trulia,40.0912685,-88.191057
106,"809 E  High St, Urbana, IL 61801",735,1bd,Trulia,40.109968463669674,-88.19888003449825
107,"1404 N  Broadway Ave, Urbana, IL 61801",1095,2bd,Trulia,40.12596543199234,-88.20759977254406
108,"105 N  Coler Ave, Urbana, IL 61801",1800,3bd,Trulia,40.112911744190434,-88.21616802325491
109,"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.12018438157885,-88.2077092012483
110,"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.12018438157885,-88.2077092012483
111,"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.12018438157885,-88.2077092012483
112,"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.12018438157885,-88.2077092012483
113,"904 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.120171475274624,-88.20770863866582
114,"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.12018438157885,-88.2077092012483
115,"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.12018438157885,-88.2077092012483
116,"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.12018438157885,-88.2077092012483
117,"904 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.120171475274624,-88.20770863866582
118,"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.12018438157885,-88.2077092012483
119,"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.12018438157885,-88.2077092012483
120,"904 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.120171475274624,-88.20770863866582
121,"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.12018438157885,-88.2077092012483
122,"403 E  Elm St, Urbana, IL 61802",675,1bd,Trulia,40.111478,-88.2033075
124,"904 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.120171475274624,-88.20770863866582
125,"904 N  Broadway Ave, Urbana, IL 61801",775,1bd,Trulia,40.120171475274624,-88.20770863866582
126,"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.12018438157885,-88.2077092012483
127,"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.12018438157885,-88.2077092012483
