Address,Price,Beds,Source
"309 S  Coler Ave, Urbana, IL 61801",1575,4bd,Trulia
"1907 E  Florida Ave  #A, Urbana, IL 61802",1400,3bd,Trulia
"504 W. Elm, Urbana, IL 61801",545-920,Studio-1bd,Trulia
"1208 Ogelthorpe Ave, Urbana, IL 61802",1500,3bd,Trulia
"711 W Elm St - 20, Urbana, IL 61801",1525-1650,3-4bd,Trulia
"102 N  Gregory St   #15638046, Urbana, IL 61801",752,2bd,Trulia
"908 N  Broadway Ave  #516-1, Urbana, IL 61801",895,2bd,Trulia
"607 S  Cottage Grove Ave, Urbana, IL 61802",1190,3bd,Trulia
"903 N Lincoln Avenue, Urbana, IL 61801",1950,4bd,Trulia
"413 W  Main St   #3, Urbana, IL 61801",995,2bd,Trulia
"111 W Park St, Urbana, IL 61801",605-749,Studio-2bd,Trulia
"710 S  Race St   #1/2, Urbana, IL 61801",710,1bd,Trulia
"1910 E  Country Squire Dr, Urbana, IL 61802",1635,4bd,Trulia
"209 W Griggs St - 204, Urbana, IL 61801",950-1250,1-2bd,Trulia
"1504 Lincolnwood Dr, Urbana, IL 61802",1300,3bd,Trulia
"1301 E  Harding Dr   #f9b0f818c, Urbana, IL 61801",615,1bd,Trulia
"1117 E  Willard St, Urbana, IL 61801",1150,2bd,Trulia
"502 W  Elm St   #9, Urbana, IL 61801",645,Studio,Trulia
"803 E  Harding Dr, Urbana, IL 61801",1050,2bd,Trulia
"702WES, Urbana, IL 61801",762-783,1bd,Trulia
"807 W Oregon St - 203, Urbana, IL 61801",1295,2bd,Trulia
"1605 Adams St, Urbana, IL 61802",1600,3bd,Trulia
"TAG Rentals, Urbana, IL 61802",2400-2800,3bd,Trulia
"712 W  Green St   #1, Urbana, IL 61801",1225,2bd,Trulia
"811 W  Oregon St #2, Urbana, IL 61801",1450,4bd,Trulia
"106 S Coler Ave - 12 - A, Urbana, IL 61801",1500,3bd,Trulia
"712 W  Illinois St   #10446336, Urbana, IL 61801",950,2bd,Trulia
"805 W  California Ave  #2, Urbana, IL 61801",1350,2bd,Trulia
"909 Crestwood Dr, Urbana, IL 61801",1155,3bd,Trulia
"611 W  California Ave, Urbana, IL 61801",2800,4bd,Trulia
"808 W Illinois St - 24, Urbana, IL 61801",1295-1600,2-3bd,Trulia
"704STO, Urbana, IL 61801",706-799,Studio-1bd,Trulia
"802 W  Illinois St   #4, Urbana, IL 61801",745,1bd,Trulia
"714 S  Elm St #1, Urbana, IL 61801",1075,2bd,Trulia
"603 S  Scottswood Dr, Urbana, IL 61802",1240,3bd,Trulia
"1009 S  Cottage Grove Ave, Urbana, IL 61801",2200,3bd,Trulia
"701 W Elm St - 9, Urbana, IL 61801",1125-1350,2-3bd,Trulia
"508 W  Griggs St #303, Urbana, IL 61801",675,1bd,Trulia
"1105 W  Main St   #428c63ff6, Urbana, IL 61801",475,2bd,Trulia
"1107ORE, Urbana, IL 61801",455-800,Studio-2bd,Trulia
"209COL, Urbana, IL 61801",487-876,1-2bd,Trulia
"605GRE, Urbana, IL 61801",599-625,4bd,Trulia
"1108NEV, Urbana, IL 61801",798-830,Studio,Trulia
"703 Macarthur Dr, Urbana, IL 61802",1611,4bd,Trulia
"705MAI, Urbana, IL 61801",360-691,Studio-4bd,Trulia
"1105ORE, Urbana, IL 61801",425-800,Studio-2bd,Trulia
"Iowa and Vine, Urbana, IL 61801",1202-1239,2bd,Trulia
"308GRE, Urbana, IL 61801",455-835,1-2bd,Trulia
"201 S Busey Ave - 9, Urbana, IL 61801",815-1035,1-2bd,Trulia
"606 W  Ohio St, Urbana, IL 61801",1300,1bd,Trulia
"Sterling On First, Savoy, IL 61874",1100-1500,1-4bd,Trulia
"Westgate Apartments, Champaign, IL 61821",685-860,1-2bd,Trulia
"404 Edgebrook Dr #115, Champaign, IL 61820",615,Studio,Trulia
"Baytowne Apartments, Champaign, IL 61822",1010-2255,1-2bd,Trulia
"Prospect Pointe, Savoy, IL 61874",1175-1410,1-2bd,Trulia
"State Street Apartments, Champaign, IL 61820",820,1bd,Trulia
"408 S  Prairie St   #408-P-101, Champaign, IL 61820",1855,2bd,Trulia
"202 E  Daniel St   #de7279876, Champaign, IL 61820",1050,4bd,Trulia
"520 Neil, Champaign, IL 61820",1550-1720,1-2bd,Trulia
"The Inman by Royse + Brinkmeyer, Champaign, IL 61820",1010-1380,Studio-2bd,Trulia
"507 W  Green St #744db37c4, Champaign, IL 61820",805,2bd,Trulia
"101 Misty Cv #209, Savoy, IL 61874",1980,3bd,Trulia
"Healey Gardens, Champaign, IL 61820",685-725,Studio-2bd,Trulia
"Clark Street Apartments by Royse + Brinkmeyer, Champaign, IL 61820",665-785,1-2bd,Trulia
"209 N  Neil St #205, Champaign, IL 61820",2000,1bd,Trulia
"209 N  Neil St #202, Champaign, IL 61820",2000,1bd,Trulia
"209 N  Neil St #204, Champaign, IL 61820",2000,1bd,Trulia
"209 N  Neil St #203, Champaign, IL 61820",2000,1bd,Trulia
"612 W  John St #2, Champaign, IL 61820",1500,2bd,Trulia
