,File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location,Latitude,Longitude
11573,1405029,05/14/2014,2014,5,1000 BLOCK,Rainbow View Dr,05/14/2014,Weeds/Grass,Owner Abated,05/22/2014,Not Available,False,0.0,"1000 Rainbow View Dr
Urbana, IL
(40.104913928, -88.184643554)",40.104913928,-88.184643554
11574,1005096,05/24/2010,2010,5,500 BLOCK,E Illinois St,05/25/2010,Weeds/Grass,Owner Abated,06/02/2010,Not Available,False,0.0,"500 E Illinois St
Urbana, IL
(40.109397898, -88.202465873)",40.109397898,-88.202465873
11575,1207040,07/19/2012,2012,7,800 BLOCK,E University Av,07/20/2012,Municipal Waste,Owner Abated,07/28/2012,Not Available,False,0.0,"800 E University Av
Urbana, IL
(40.11638728, -88.198825118)",40.11638728,-88.198825118
11576,810008,10/03/2008,2008,10,300 BLOCK,E Willard St,10/06/2008,Weeds/Grass,Owner Abated,10/14/2008,Not Available,False,0.0,"300 E Willard St
Urbana, IL
(40.084397713, -88.204075637)",40.084397713,-88.204075637
11580,1704035,04/27/2017,2017,4,1400 BLOCK,S Vine St,04/27/2017,Weeds/Grass,Owner Abated,05/05/2017,Not Available,False,0.0,"1400 S Vine St
Urbana, IL
(40.100723511, -88.204874077)",40.100723511,-88.204874077
11585,18-036060,09/26/2018,2018,9,1000 Block,East Scovill Street,09/26/2018,Municipal Waste,Voluntarily Complied,10/04/2018,Phone,False,0.0,"1000 East Scovill Street
Urbana, IL
(40.085499685, -88.196590303)",40.085499685,-88.196590303
11586,1508034,08/13/2015,2015,8,700 BLOCK,W Illinois St,08/13/2015,Municipal Waste,Owner Abated,08/21/2015,Not Available,False,0.0,"700 W Illinois St
Urbana, IL
(40.10930398, -88.216247982)",40.10930398,-88.216247982
11587,1205006,05/02/2012,2012,5,1100 BLOCK,E Michigan Av,05/03/2012,Weeds/Grass,Owner Abated,05/11/2012,Not Available,False,0.0,"1100 E Michigan Av
Urbana, IL
(40.101688029, -88.195496042)",40.101688029,-88.195496042
11588,23-001449,05/22/2023,2023,5,200 Block,West Pennsylvania Avenue,05/22/2023,Weeds/Grass,Voluntarily Complied,05/30/2023,Phone,False,0.0,"200 West Pennsylvania Avenue
Urbana, IL
(40.100776652, -88.209675682)",40.100776652,-88.209675682
11589,1207043,07/23/2012,2012,7,1200 BLOCK,E Silver St,07/24/2012,Weeds/Grass,Owner Abated,08/01/2012,Not Available,False,0.0,"1200 E Silver St
Urbana, IL
(40.09154234, -88.19431802)",40.09154234,-88.19431802
11590,22-002805,08/30/2022,2022,8,600 Block,South Busey Avenue,08/30/2022,Municipal Waste,Voluntarily Complied,09/09/2022,Phone,False,0.0,"600 South Busey Avenue
Urbana, IL
(40.108223226, -88.217614423)",40.108223226,-88.217614423
11592,21-001250,06/08/2021,2021,6,700 Block,West Washington Street,06/08/2021,Weeds/Grass,City Abated,09/28/2021,Phone,False,255.5,"700 West Washington Street
Urbana, IL
(40.105606861, -88.216065485)",40.105606861,-88.216065485
11593,23-001219,05/10/2023,2023,5,800 Block,West Nevada Street,05/10/2023,Weeds/Grass,Voluntarily Complied,05/18/2023,Phone,False,0.0,"800 West Nevada Street
Urbana, IL
(40.106555849, -88.217736731)",40.106555849,-88.217736731
11596,1305063,05/13/2013,2013,5,100 BLOCK,N Lynn St,05/13/2013,Weeds/Grass,Owner Abated,05/21/2013,Not Available,False,0.0,"100 N Lynn St
Urbana, IL
(40.113038027, -88.197766046)",40.113038027,-88.197766046
11597,1108042,08/18/2011,2011,8,700 BLOCK,W Illinois St,08/18/2011,Municipal Waste,Owner Abated,08/26/2011,Not Available,False,0.0,"700 W Illinois St
Urbana, IL
(40.10930398, -88.216247982)",40.10930398,-88.216247982
11599,708052,08/15/2007,2007,8,2500 BLOCK,S Anderson St,08/16/2007,Municipal Waste,Owner Abated,08/24/2007,Not Available,False,0.0,"2500 S Anderson St
Urbana, IL
(40.085343427, -88.199314153)",40.085343427,-88.199314153
11601,23-001167,05/09/2023,2023,5,1300 Block,South Vine Street,05/09/2023,Weeds/Grass,Voluntarily Complied,05/17/2023,Phone,False,0.0,"1300 South Vine Street
Urbana, IL
(40.101942694, -88.204885083)",40.101942694,-88.204885083
11602,20-001613,08/18/2020,2020,8,1600 Block,"South ""Cottage Grove"" Avenue",08/18/2020,Weeds/Grass,Voluntarily Complied,08/26/2020,Phone,False,0.0,"1600 South Cottage Grove Avenue
Urbana, IL
(40.09916271, -88.195475059)",40.09916271,-88.195475059
