Address,Price,Beds,Source,URL
"1557 S Hunter St, Urbana, IL 61802",$700,1 bed,apartments.com,https://www.apartments.com/aspen-court-apartments-urbana-il/9wepsf7/
"1557 S Hunter St, Urbana, IL 61802",$900,2 beds,apartments.com,https://www.apartments.com/aspen-court-apartments-urbana-il/9wepsf7/
"1557 S Hunter St, Urbana, IL 61802","$1,000",3 beds,apartments.com,https://www.apartments.com/aspen-court-apartments-urbana-il/9wepsf7/
"502 W Main St, Urbana, IL 61801",$760,Studio,apartments.com,https://www.apartments.com/element-on-main-urbana-il/lbjkd1f/
"502 W Main St, Urbana, IL 61801",$855,1 bed,apartments.com,https://www.apartments.com/element-on-main-urbana-il/lbjkd1f/
"502 W Main St, Urbana, IL 61801",$920,2 beds,apartments.com,https://www.apartments.com/element-on-main-urbana-il/lbjkd1f/
"502 W Main St, Urbana, IL 61801","$1,040",3 beds,apartments.com,https://www.apartments.com/element-on-main-urbana-il/lbjkd1f/
"2502 Prairie Green Dr, Urbana, IL 61802",$725 – $825,1 bed,apartments.com,https://www.apartments.com/prairie-green-apartment-homes-urbana-il/v6xrr5e/
"2502 Prairie Green Dr, Urbana, IL 61802",$800 – $925,2 beds,apartments.com,https://www.apartments.com/prairie-green-apartment-homes-urbana-il/v6xrr5e/
"2502 Prairie Green Dr, Urbana, IL 61802","$1,050",3 beds,apartments.com,https://www.apartments.com/prairie-green-apartment-homes-urbana-il/v6xrr5e/
"305 W Clark St, Champaign, IL 61820","$1,395 – $1,400",1 bed,apartments.com,https://www.apartments.com/305-w-clark-st-champaign-il/gtp0gpz/
"305 W Clark St, Champaign, IL 61820","$1,645 – $1,695",2 beds,apartments.com,https://www.apartments.com/305-w-clark-st-champaign-il/gtp0gpz/
"409 E Chalmers St, Champaign, IL 61820","$9,000",2 beds,apartments.com,https://www.apartments.com/illini-tower-apartments-champaign-il/p97zg3t/
"409 E Chalmers St, Champaign, IL 61820","$21,500",2 beds,apartments.com,https://www.apartments.com/illini-tower-apartments-champaign-il/p97zg3t/
"409 E Chalmers St, Champaign, IL 61820","$9,750",2 beds,apartments.com,https://www.apartments.com/illini-tower-apartments-champaign-il/p97zg3t/
"409 E Chalmers St, Champaign, IL 61820","$15,500",3 beds,apartments.com,https://www.apartments.com/illini-tower-apartments-champaign-il/p97zg3t/
"409 E Chalmers St, Champaign, IL 61820","$15,500",4 beds,apartments.com,https://www.apartments.com/illini-tower-apartments-champaign-il/p97zg3t/
"310 E Springfield Ave, Champaign, IL 61820","$1,519",Studio,apartments.com,https://www.apartments.com/burnham-310-champaign-il/5g3k2lm/
