,Unnamed: 0,Address,Price,Beds,Source,lat,long
85,85,"512 S Third St, Champaign, IL 61820",939,2bd,apartments.com,40.112031200000004,-88.23513212822255
86,86,"512 S Third St, Champaign, IL 61820",699,3bd,apartments.com,40.112031200000004,-88.23513212822255
87,87,"512 S Third St, Champaign, IL 61820",709,3bd,apartments.com,40.112031200000004,-88.23513212822255
88,88,"512 S Third St, Champaign, IL 61820",739,3bd,apartments.com,40.112031200000004,-88.23513212822255
89,89,"512 S Third St, Champaign, IL 61820",799,3bd,apartments.com,40.112031200000004,-88.23513212822255
90,90,"512 S Third St, Champaign, IL 61820",859,3bd,apartments.com,40.112031200000004,-88.23513212822255
91,91,"512 S Third St, Champaign, IL 61820",669,4bd,apartments.com,40.112031200000004,-88.23513212822255
92,92,"512 S Third St, Champaign, IL 61820",689,4bd,apartments.com,40.112031200000004,-88.23513212822255
93,93,"512 S Third St, Champaign, IL 61820",709,4bd,apartments.com,40.112031200000004,-88.23513212822255
94,94,"512 S Third St, Champaign, IL 61820",739,4bd,apartments.com,40.112031200000004,-88.23513212822255
95,95,"512 S Third St, Champaign, IL 61820",779,4bd,apartments.com,40.112031200000004,-88.23513212822255
96,96,"200 S Vine St, Urbana, IL 61802",1495,2bd,apartments.com,40.111545,-88.204875
97,97,"200 S Vine St, Urbana, IL 61802",1575,2bd,apartments.com,40.111545,-88.204875
98,98,"200 S Vine St, Urbana, IL 61802",1700,3bd,apartments.com,40.111545,-88.204875
99,99,"200 S Vine St, Urbana, IL 61802",1750,3bd,apartments.com,40.111545,-88.204875
100,100,"911 W Springfield Ave, Urbana, IL 61801",725,1bd,apartments.com,40.1125857,-88.22037905030678
101,101,"911 W Springfield Ave, Urbana, IL 61801",875,1bd,apartments.com,40.1125857,-88.22037905030678
102,102,"911 W Springfield Ave, Urbana, IL 61801",1050,2bd,apartments.com,40.1125857,-88.22037905030678
103,103,"911 W Springfield Ave, Urbana, IL 61801",1125,4bd,apartments.com,40.1125857,-88.22037905030678
104,104,"1306 N Lincoln Ave, Urbana, IL 61801",445,1bd,apartments.com,40.1245174,-88.21855974971189
105,105,"1306 N Lincoln Ave, Urbana, IL 61801",425,4bd,apartments.com,40.1245174,-88.21855974971189
106,106,"1714 E Colorado Ave, Urbana, IL 61802",1050,1bd,apartments.com,40.095013050000006,-88.1870994
107,107,"1714 E Colorado Ave, Urbana, IL 61802",1150,2bd,apartments.com,40.095013050000006,-88.1870994
108,108,"1714 E Colorado Ave, Urbana, IL 61802",1215,2bd,apartments.com,40.095013050000006,-88.1870994
109,109,"1714 E Colorado Ave, Urbana, IL 61802",1375,3bd,apartments.com,40.095013050000006,-88.1870994
110,110,"314 S State St, Champaign, IL 61820",1375,1bd,apartments.com,40.11402970929918,-88.24669294864343
111,111,"314 S State St, Champaign, IL 61820",1325,1bd,apartments.com,40.11402970929918,-88.24669294864343
112,112,"314 S State St, Champaign, IL 61820",1695,2bd,apartments.com,40.11402970929918,-88.24669294864343
113,113,"405 E Stoughton St, Champaign, IL 61820",1315,Studio,apartments.com,40.113195250000004,-88.23280157498988
114,114,"405 E Stoughton St, Champaign, IL 61820",1485,1bd,apartments.com,40.113195250000004,-88.23280157498988
115,115,"405 E Stoughton St, Champaign, IL 61820",1175,2bd,apartments.com,40.113195250000004,-88.23280157498988
116,116,"405 E Stoughton St, Champaign, IL 61820",960,3bd,apartments.com,40.113195250000004,-88.23280157498988
117,117,"1009 S 2nd St, Champaign, IL 61820",755,2bd,apartments.com,40.106348122448985,-88.23711610204082
118,118,"1009 S 2nd St, Champaign, IL 61820",645,4bd,apartments.com,40.106348122448985,-88.23711610204082
119,119,"1009 S 2nd St, Champaign, IL 61820",1150,4bd,apartments.com,40.106348122448985,-88.23711610204082
120,120,"203 S 3rd St, Champaign, IL 61820",550,1bd,apartments.com,40.31658071428571,-88.34976187755102
121,121,"203 S 3rd St, Champaign, IL 61820",525,3bd,apartments.com,40.31658071428571,-88.34976187755102
122,122,"203 S 3rd St, Champaign, IL 61820",500,4bd,apartments.com,40.31658071428571,-88.34976187755102
123,123,"1010 W University Ave, Urbana, IL 61801",1099,4bd,apartments.com,40.11649808163265,-88.2210256122449
124,124,"1010 W University Ave, Urbana, IL 61801",1109,4bd,apartments.com,40.11649808163265,-88.2210256122449
125,125,"707 W Springfield Ave, Urbana, IL 61801",1360,1bd,apartments.com,40.1125953,-88.2169613
126,126,"707 W Springfield Ave, Urbana, IL 61801",1675,2bd,apartments.com,40.1125953,-88.2169613
127,127,"707 W Springfield Ave, Urbana, IL 61801",1695,2bd,apartments.com,40.1125953,-88.2169613
131,131,"1601 E Florida Ave, Urbana, IL 61802",629,2bd,apartments.com,40.098191,-88.188683
132,132,"1601 E Florida Ave, Urbana, IL 61802",525,3bd,apartments.com,40.098191,-88.188683
133,133,"908 N Broadway Ave, Urbana, IL 61801",775,1bd,apartments.com,40.12018438157885,-88.2077092012483
134,134,"908 N Broadway Ave, Urbana, IL 61801",895,2bd,apartments.com,40.12018438157885,-88.2077092012483
135,135,"907 E Harding Dr, Urbana, IL 61801",550,2bd,apartments.com,40.0938328,-88.1934196
136,136,"1557 S Hunter St, Urbana, IL 61802",700,1bd,apartments.com,40.10383,-88.185632
137,137,"1557 S Hunter St, Urbana, IL 61802",900,2bd,apartments.com,40.10383,-88.185632
138,138,"1557 S Hunter St, Urbana, IL 61802",1000,3bd,apartments.com,40.10383,-88.185632
139,139,"502 W Main St, Urbana, IL 61801",760,Studio,apartments.com,40.1141289,-88.21293712626144
140,140,"502 W Main St, Urbana, IL 61801",855,1bd,apartments.com,40.1141289,-88.21293712626144
141,141,"502 W Main St, Urbana, IL 61801",920,2bd,apartments.com,40.1141289,-88.21293712626144
142,142,"502 W Main St, Urbana, IL 61801",1040,3bd,apartments.com,40.1141289,-88.21293712626144
143,143,"2502 Prairie Green Dr, Urbana, IL 61802",775,1bd,apartments.com,40.1054801,-88.17380514987332
144,144,"2502 Prairie Green Dr, Urbana, IL 61802",875,2bd,apartments.com,40.1054801,-88.17380514987332
145,145,"2502 Prairie Green Dr, Urbana, IL 61802",1050,3bd,apartments.com,40.1054801,-88.17380514987332
146,146,"305 W Clark St, Champaign, IL 61820",1395,1bd,apartments.com,40.1150709,-88.247602
147,147,"305 W Clark St, Champaign, IL 61820",1670,2bd,apartments.com,40.1150709,-88.247602
148,148,"409 E Chalmers St, Champaign, IL 61820",9000,2bd,apartments.com,40.1064312,-88.23236031069004
149,149,"409 E Chalmers St, Champaign, IL 61820",21500,2bd,apartments.com,40.1064312,-88.23236031069004
150,150,"409 E Chalmers St, Champaign, IL 61820",9750,2bd,apartments.com,40.1064312,-88.23236031069004
151,151,"409 E Chalmers St, Champaign, IL 61820",15500,3bd,apartments.com,40.1064312,-88.23236031069004
152,152,"409 E Chalmers St, Champaign, IL 61820",15500,4bd,apartments.com,40.1064312,-88.23236031069004
153,153,"310 E Springfield Ave, Champaign, IL 61820",1519,Studio,apartments.com,40.1131053,-88.23515145361105
154,154,"310 E Springfield Ave, Champaign, IL 61820",1375,1bd,apartments.com,40.1131053,-88.23515145361105
155,155,"310 E Springfield Ave, Champaign, IL 61820",1485,1bd,apartments.com,40.1131053,-88.23515145361105
156,156,"310 E Springfield Ave, Champaign, IL 61820",1610,1bd,apartments.com,40.1131053,-88.23515145361105
157,157,"310 E Springfield Ave, Champaign, IL 61820",1665,1bd,apartments.com,40.1131053,-88.23515145361105
158,158,"310 E Springfield Ave, Champaign, IL 61820",1670,1bd,apartments.com,40.1131053,-88.23515145361105
159,159,"310 E Springfield Ave, Champaign, IL 61820",1675,1bd,apartments.com,40.1131053,-88.23515145361105
160,160,"310 E Springfield Ave, Champaign, IL 61820",1690,1bd,apartments.com,40.1131053,-88.23515145361105
161,161,"310 E Springfield Ave, Champaign, IL 61820",1730,1bd,apartments.com,40.1131053,-88.23515145361105
162,162,"310 E Springfield Ave, Champaign, IL 61820",999,2bd,apartments.com,40.1131053,-88.23515145361105
163,163,"310 E Springfield Ave, Champaign, IL 61820",1024,2bd,apartments.com,40.1131053,-88.23515145361105
164,164,"310 E Springfield Ave, Champaign, IL 61820",1034,2bd,apartments.com,40.1131053,-88.23515145361105
165,165,"310 E Springfield Ave, Champaign, IL 61820",910,3bd,apartments.com,40.1131053,-88.23515145361105
166,166,"708 S 6th St, Champaign, IL 61820",1650,Studio,apartments.com,40.1118866,-88.0369831
167,167,"708 S 6th St, Champaign, IL 61820",1820,Studio,apartments.com,40.1118866,-88.0369831
168,168,"708 S 6th St, Champaign, IL 61820",1950,Studio,apartments.com,40.1118866,-88.0369831
170,170,"708 S 6th St, Champaign, IL 61820",1600,2bd,apartments.com,40.1118866,-88.0369831
171,171,"708 S 6th St, Champaign, IL 61820",1025,4bd,apartments.com,40.1118866,-88.0369831
172,172,"708 S 6th St, Champaign, IL 61820",1175,4bd,apartments.com,40.1118866,-88.0369831
173,173,"708 S 6th St, Champaign, IL 61820",1120,4bd,apartments.com,40.1118866,-88.0369831
174,174,"708 S 6th St, Champaign, IL 61820",1165,4bd,apartments.com,40.1118866,-88.0369831
175,175,"708 S 6th St, Champaign, IL 61820",1195,4bd,apartments.com,40.1118866,-88.0369831
176,176,"301 W University Ave, Champaign, IL 61820",1375,1bd,apartments.com,40.116167,-88.246968
177,177,"608 E University Ave, Champaign, IL 61820",1425,1bd,apartments.com,40.1164485,-88.2295393
178,178,"608 E University Ave, Champaign, IL 61820",1530,1bd,apartments.com,40.1164485,-88.2295393
179,179,"608 E University Ave, Champaign, IL 61820",1899,1bd,apartments.com,40.1164485,-88.2295393
180,180,"608 E University Ave, Champaign, IL 61820",899,2bd,apartments.com,40.1164485,-88.2295393
181,181,"608 E University Ave, Champaign, IL 61820",815,4bd,apartments.com,40.1164485,-88.2295393
182,182,"705 S 1st St, Champaign, IL 61820",633,3bd,apartments.com,40.310626395089656,-88.34680719460762
183,183,"705 S 1st St, Champaign, IL 61820",496,4bd,apartments.com,40.310626395089656,-88.34680719460762
184,184,"217 S Neil St, Champaign, IL 61820",1670,2bd,apartments.com,40.11426824418605,-88.243385
185,185,"217 S Neil St, Champaign, IL 61820",1720,2bd,apartments.com,40.11426824418605,-88.243385
186,186,"217 S Neil St, Champaign, IL 61820",1770,2bd,apartments.com,40.11426824418605,-88.243385
187,187,"217 S Neil St, Champaign, IL 61820",1999,2bd,apartments.com,40.11426824418605,-88.243385
188,188,"715 S Randolph St, Champaign, IL 61820",800,2bd,apartments.com,40.10764305,-88.24566044185592
189,189,"715 S Randolph St, Champaign, IL 61820",850,3bd,apartments.com,40.10764305,-88.24566044185592
190,190,"303 W Green St, Champaign, IL 61820",925,1bd,apartments.com,40.1095081,-88.2472886
191,191,"303 W Green St, Champaign, IL 61820",600,2bd,apartments.com,40.1095081,-88.2472886
192,192,"303 W Green St, Champaign, IL 61820",450,3bd,apartments.com,40.1095081,-88.2472886
193,193,"404 Edgebrook Dr, Champaign, IL 61820",615,Studio,apartments.com,40.13146520502175,-88.24850222689274
194,194,"404 Edgebrook Dr, Champaign, IL 61820",760,1bd,apartments.com,40.13146520502175,-88.24850222689274
195,195,"404 Edgebrook Dr, Champaign, IL 61820",830,2bd,apartments.com,40.13146520502175,-88.24850222689274
196,196,"808 N Lincoln Ave, Urbana, IL 61801",995,2bd,apartments.com,40.1193392244898,-88.21931757142858
197,197,"813 W Main St, Urbana, IL 61801",995,2bd,apartments.com,40.11428712209252,-88.21779520040691
198,198,"211 N Central Ave, Urbana, IL 61801",835,1bd,apartments.com,40.11375842857143,-88.2115669387755
199,199,"208 N Harvey St, Urbana, IL 61801",1295,2bd,apartments.com,40.114215650000006,-88.22207415
200,200,"208 N Harvey St, Urbana, IL 61801",1695,3bd,apartments.com,40.114215650000006,-88.22207415
201,201,"1003 W Stoughton St, Urbana, IL 61801",1050,1bd,apartments.com,40.11336285,-88.22111634999999
202,202,"1003 W Stoughton St, Urbana, IL 61801",1050,2bd,apartments.com,40.11336285,-88.22111634999999
